category,displayName.text,formattedAddress,rating,id,userRatingCount,internationalPhoneNumber,googleMapsUri,websiteUri,photo_url,latitude,longitude
caterer,Chanekar Caterers,"Borden, Dicholi, Goa 403504, India",4,ChIJ2eSmTnmWvzsRPFPFHv-ZF3w,41,+91 98225 82331,https://maps.google.com/?cid=8941784906179367740,NAN,https://lh3.googleusercontent.com/place-photos/ADOriq1Cv35CqpTURlGAI8J_f2GmW7ScwTy6vclk_fWeWcin-1ZvZakLx9A3gLJKUpDFNLJWXKug4gW0H0zQJ9Xz1nBA7E0E4Yp4dXeEAnae0n9a9rdrRtlnuiBOCRlTlCA-i47qq51I7SxBpu4J=s1600-w400,15.5980766,73.9407967
caterer,Nalini Caterers,"Panchratna Complex, D8, 403507, Martires Dias Rd, Pajifond, Madgaon, Goa 403601, India",4.5,ChIJ5ZswccKzvzsReHJVzHUwTGw,44,+91 98221 67830,https://maps.google.com/?cid=7803665536823685752,NAN,https://lh3.googleusercontent.com/place-photos/ADOriq1wIASifK4gy5ao7y8cZIBlpQsFKo97CB_Z13FDzOfth5VNlIzcxoCDzJWmkUzHyaFb9TcElgYTMXueTVpyxiAJNIljyNEUEOZQbMP6zBfgPo4NfAVT5YZimHnxjv6oCqXquD7cclUuISMkCw=s1600-w400,15.2722521,73.9599056
caterer,Goa Cheese & Catering Company,"10, Khalap Mansion, Vaddem, Vasco Da Gama, Goa 403802, India",5,ChIJd3vPYHLHvzsRik-Owwo4IFk,61,9823083895,https://maps.google.com/?cid=6422194687512039306,NAN,https://lh3.googleusercontent.com/places/ANXAkqEPfVS7yDXDWSqN6gYV29BK7ULnRggaLOJNamHbt1aTc_9fm6eNuZBApICIqZXxd5jrFZ8FZq5bHSK5_oi9ByLy2KIorWulKOY=s1600-w400,15.3965416,73.8085293
caterer,Lily Catering Service,"H. No 137 novangully, Varca, Goa 403721, India",4.8,ChIJeZ0mQcKzvzsRfet7MM1VMCA,65,+91 7775946274,https://maps.google.com/?cid=2319448147865889661,NAN,https://lh3.googleusercontent.com/places/ANXAkqHUmlPhYAOnJ44dLe103A_Ho83t0kxovm3yrPCgTbqigWnj7DvrYI3Acm0RfuaY5qb1KJqEWv9NjJe1ApeiqMsGMdrDRPkb3hE=s1600-w400,15.2341523,73.94254
caterer,STAR CATERERS,"Pedda Grande, 174/1, Benaulim, Goa 403716, India",4.4,ChIJSa9UevCzvzsR8PUsxRJe410,91,+91 98221 41644,https://maps.google.com/?cid=6765354499951097328,NAN,https://lh3.googleusercontent.com/places/ANXAkqGlCf1mkQ0WRJUDn837i1vxxEbwHHLFx472IvZ4ERFhSsXKKF_F3MCoUaX1MHfEFG-Xb0_NvoKLQtyvETtBJp-KBYQNrrvezdU=s1600-w400,15.2744097,73.9452155
caterer,Bhingi Caterers,"Bhedshe Rd, Talaulim, Durbhat, Goa 403401, India",5,ChIJie78z3-6vzsRVTx7IhDhbZQ,15,+91 832 232 5128,https://maps.google.com/?cid=10695452149489024085,NAN,https://lh3.googleusercontent.com/place-photos/ADOriq0N9J87f4EkD9M9CoL47nsVFjj6mZ8jU3RpyJRzfEsCk2cnpjtgSAZCVjZTWrG-GF2CWcD5YHf9jJno2kb9RkOo6Ru7fj13nYD10gwsaSNiL1nJ5QRkRGQ46Rv-Z_IeeX79sx3Y6QbPp3KJmYA=s1600-w400,15.382099,73.9819775
caterer,PG CATERERS,"Chorao karabhat vaddo, Panaji, Goa 403102, India",4.6,ChIJX5BNHw-_vzsRKuG9Bnq5XdQ,20,8805543659�,https://maps.google.com/?cid=15302591042625069354,NAN,https://lh3.googleusercontent.com/places/ANXAkqFBOWs4NpDQaV_vGFwlHbB0kms8W2MxEFtZN--iTe30fJS6b6_fZbWFpoKU11pXNyGHrKzHj1bPkqncufSTQv8eFPpAOSJDQFw=s1600-w400,15.545024,73.8784537
caterer,AHMAD CATERERS,"near Anjuman school, Housing Board, Navelim, Rumdamol, Davorlim, Madgaon, Goa 403601, India",4.9,ChIJQ3XnWouzvzsRfQYIicPsjFA,22,+91 87886 11511,https://maps.google.com/?cid=5804274344335509117,http://www.ahmadcaterers.com/,https://lh3.googleusercontent.com/places/ANXAkqFaa8COiGcPUCpozgGx980CSSEIjUHPVZgLznzKgQ_NGQ3tfj6LLoWGpP_qGU9OCBwZhsCoXU361Fdx_H2VJUzX4WtpX0Kyr04=s1600-w400,15.2754984,73.9864536
caterer,Swastik Caterers GOA,"Office no:02, SHRI GURUKRUPA CO-OP SOCIETY, market, near bhonsle Cafe, Sadar, Durgabhat, Ponda, Goa 403401, India",4.9,ChIJO6kFpoS7vzsRtsTG8Iab1Zs,15,9662924972,https://maps.google.com/?cid=11229052249785681078,NAN,https://lh3.googleusercontent.com/places/ANXAkqH18tu5H2eF9h8dh0ijC00nGr-Y5MKOM8oWbI-pN-dodQZi2tJTdZOxeY6u161gZtuiQSWi4aAVWjNouexSus8eaQyvCndJ1Ic=s1600-w400,15.4002589,74.0071601
caterer,Taste Bud Caterers,"H. N0. 299, Moloca, Merces, Bambolim, Mersi Tem, Goa 403005, India",5,ChIJCQgj1la_vzsR3_EzT40_9AA,15,9831993523,https://maps.google.com/?cid=68749770469143007,NAN,https://lh3.googleusercontent.com/places/ANXAkqH0lZxo_HcVR5eV_lhpviLSRiFr4PiftEt8lWhbWx0DBEnRqacLMTI4aprFcohPvL5QnqrizLyRCQyzWN1_qBpiWVDD7C1aP5s=s1600-w400,15.4788395,73.8535919
caterer,Menezes Caterers,"tolea Bandh, Sancoale, Chinchinim, Goa 403715, India",4.1,ChIJ10mOPSWzvzsR5Ohypf_X7K4,110,+91 832 286 2864,https://maps.google.com/?cid=12604686950095579364,NAN,https://lh3.googleusercontent.com/place-photos/ADOriq0nkI3PAjtaoqyL4acxUddva3VElnaGN-xBM2WeYRWhMLIGUE1SDAAU9zz1i2DRzMtdoYll13FDpxlKK892GbXJoFAv19amICV6FU_kWxlvxV9mVAkiYVYvxkXOE3sBqmeJh5ugg3kXw22qMg=s1600-w400,15.2107055,73.9724925
caterer,Ahuja Caterers,"House of Lords, B-003, opp. J W Marriott, Campal, Panaji, Goa 403001, India",4.6,ChIJRxEjK-_AvzsRvYWZJ9FpTb4,20,+91 94226 42438,https://maps.google.com/?cid=13712732787446482365,NAN,https://lh3.googleusercontent.com/place-photos/ADOriq0iHPih8sDg8LayMw6GHjcoMf0RKp9pbBImZh7EQjGaYIOswE-MYY0mQS6XaGXlU_pSgXptvqbGKwFCkVAiynv-1kEBHsAD_-dxBfxEUCv4J_mNH1QsZ4o-1JVjczDTmu_YORAUxWNYQMaaAQ=s1600-w400,15.4813422,73.810352
caterer,Charlotte's Creative Catering,"Green Hill colony, Porvorim, Aradi Socorro, Goa 403501, India",4.9,ChIJq4gHNtXBvzsRuogO5x177VA,35,+91 96070 22805,https://maps.google.com/?cid=5831452460875417786,NAN,https://lh3.googleusercontent.com/places/ANXAkqGeL7pH_-u8JELplrblvZEJeD9v9MwEWGcopegNX0SUagCsT0yeLF6kX4clHNZrQ9I9wqB713SCU-HfCXKdcHq2cbxrqm46K78=s1600-w400,15.5467243,73.8157511
caterer,Gaurish Caterers & decorater (GK- EVENTS),"Near mahalaxmi temple cotta balli fatorpa, Cotta tiloi, Bali, Goa 403703, India",4.7,ChIJL3xWyi5NvjsRe6nZF8fGKd8,31,+91 91580 71255,https://maps.google.com/?cid=16080602502903998843,NAN,https://lh3.googleusercontent.com/places/ANXAkqEh6qPWIwB0DMiszzw7kKMwPyf8BBg3QO9A_uQOKlBOUrBaIfee2n3UPn9inNWrfwbjq_YTEJDVHgLsec7TvkxSe3GE2KTcRoU=s1600-w400,15.15222,74.0044185
caterer,Pinto Caterers,"435, d Gunneavaddo, Varca, Goa 403721, India",4.4,ChIJ3UWNKxSzvzsRBFf2GNJ0kjs,39,+91 88846 67435,https://maps.google.com/?cid=4292621840548255492,NAN,https://lh3.googleusercontent.com/places/ANXAkqE-fQSqs71au3JDEjGIRv3vD1-BNxWQfSlgHb1e-J4Thry996M7EWv3q1SJu5F5lCR-2pXUPh1h69mHlrH7wA13wj2CmHLoNBI=s1600-w400,15.2269702,73.9432728
caterer,Rebello Caterers,"Maina, Curtorim, Shelvan, Goa 403709, India",4.9,ChIJO8e6bqyzvzsROMExZ7DrUdY,16,+91 98221 53177,https://maps.google.com/?cid=15443383740108226872,NAN,https://lh3.googleusercontent.com/places/ANXAkqGCj7ebDC2OSbb2LMOHF-_iEygG0HGAGgPoCqysrevSxcX9n7XlSa4d1auv3xxzrnKsdQ--u8m31R6A5d4hLQVOg8lFZQYY6fY=s1600-w400,15.2903332,74.0049204
caterer,Sai Caterers,"NH 66, Dhargal, Goa 403513, India",4.7,ChIJFTZ0YcrsvzsR4IXXZ29oan4,24,+91 99231 33568,https://maps.google.com/?cid=9109208024003085792,NAN,https://lh3.googleusercontent.com/places/ANXAkqF5RTQGE-5WyukCiVKrl3NwwSIkgPZxbf5cVh3hbQ68eRWa0IBkQtF2IuHO72Nn_wwJAz9ErcxzTms7WgooVq7nagrv0e49MJE=s1600-w400,15.6690066,73.841298
caterer,John Delicious Caterers,"FRFV+H2J, Santa Cruz, Goa 403005, India",3.8,ChIJE63RjFi_vzsRULRNHVXku40,46,+91 98233 95031,https://maps.google.com/?cid=10213007634207716432,http://deliciouscaterersgoa.com/,NAN,15.4739582,73.8425098
caterer,Sawant Caterers,"9XPJ+GV6, Ponda – Durbhat Rd, Mahalaxminagar, Talaulim, Durbhat, Goa 403401, India",4.7,ChIJaY2O7326vzsRYKtJulMdVo0,29,+91 98221 31306,https://maps.google.com/?cid=10184359852789836640,NAN,NAN,15.3863161,73.9821076
caterer,Divkar Cateres,"near Mayem Panchayat, Kumbharwada, Mayem, Dicholi, Bhatwadi, Goa 403504, India",4.8,ChIJXR-OoluVvzsRAvN_hmVzw1U,39,+91 90969 30165,https://maps.google.com/?cid=6179909993567875842,NAN,https://lh3.googleusercontent.com/places/ANXAkqHe_SiB13nlRe-xC_2N5ucLgkWKRHOu6xUN2vQfRbf8AZtVymQ1oRSrjJ0PxOVxpVThnNWQPEacq3GiOLGvispWsGU33b-ZRbc=s1600-w400,15.5775447,73.9177504
caterer,SHREE KAMAKSHI CATERERS,"Road Bhatniwada, Khandiwada, Vodlemol Cacora, Hodar, Goa 403706, India",4.7,ChIJuXKUOGasvzsRyCAzkiqbFlY,26,+91 84128 67899,https://maps.google.com/?cid=6203316143893192904,https://shreekamakshicaterers.com/,NAN,15.2624568,74.1044187
caterer,Tople Caterers,"Forest Check Post, On, Matne, Goa 403504, India",4,ChIJYU_N5a2XvzsRG2JCn0KsEbc,25,+91 78752 41069,https://maps.google.com/?cid=13191514185684640283,http://www.toplecaterers.com/,https://lh3.googleusercontent.com/place-photos/ADOriq1T-wteQS6x08-fcinfn4lCwKBToTFGWp82seAjMg6L0a2HffZ8Cv7c2mPBUmuYNYmRRRCE8tdQsumVJPlYhZeXwS6JtsoT9h8ToqV8jzQPVGLEN5IydHgjRPgbyQgFOKDrAreP-U6NMQ=s1600-w400,15.6133397,73.9629301
caterer,Taj SATS Air Catering Ltd,"Ijorshi, Goa 403801, India",4.5,ChIJU281qA24vzsRJ3yE6UmYs_0,148,+91 832 668 8000,https://maps.google.com/?cid=18281122755644783655,http://www.tajsats.com/,https://lh3.googleusercontent.com/place-photos/ADOriq3s-UvksLgTew-Hxo-CRm6KAUGvUTnFzQAi8UMKrSvrNKZ9rVqbHyv3SxxB-Qg-tfnfdzWo6TTnJdLMbQLQVkWz9t_HkmWMU9XOIaba6PFkkpVFnBHg9G5JMKBIu8hFE52qfe0hLFRRxBr52w=s1600-w400,15.3900125,73.8513069
